------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:08 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:44 (uptime: 0d, 00h 01m 54s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 17743
capture.afpacket.polls                        | Total                     | 19875
capture.afpacket.poll_timeout                 | Total                     | 11758
capture.afpacket.poll_data                    | Total                     | 8117
decoder.pkts                                  | Total                     | 17749
decoder.bytes                                 | Total                     | 17339721
decoder.ipv4                                  | Total                     | 72
decoder.ipv6                                  | Total                     | 17614
decoder.ethernet                              | Total                     | 17749
decoder.arp                                   | Total                     | 53
decoder.unknown_ethertype                     | Total                     | 10
decoder.tcp                                   | Total                     | 1217
tcp.syn                                       | Total                     | 27
tcp.synack                                    | Total                     | 5
decoder.udp                                   | Total                     | 16275
decoder.icmpv6                                | Total                     | 192
decoder.avg_pkt_size                          | Total                     | 976
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 12
flow.total                                    | Total                     | 55
flow.active                                   | Total                     | 38
flow.tcp                                      | Total                     | 19
flow.udp                                      | Total                     | 19
flow.icmpv6                                   | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 3
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 16
tcp.segment_from_pool                         | Total                     | 16
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 15
app_layer.tx.dns_udp                          | Total                     | 30
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 15
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 11
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10016
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 81
flow.mgr.flows_notimeout                      | Total                     | 64
flow.mgr.flows_timeout                        | Total                     | 17
flow.mgr.flows_evicted                        | Total                     | 17
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 17
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
tcp.reassembly_memuse                         | Total                     | 1390592
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:52 (uptime: 0d, 00h 02m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 17874
capture.afpacket.polls                        | Total                     | 20999
capture.afpacket.poll_timeout                 | Total                     | 12820
capture.afpacket.poll_data                    | Total                     | 8179
decoder.pkts                                  | Total                     | 17875
decoder.bytes                                 | Total                     | 17403900
decoder.ipv4                                  | Total                     | 74
decoder.ipv6                                  | Total                     | 17735
decoder.ethernet                              | Total                     | 17875
decoder.arp                                   | Total                     | 55
decoder.unknown_ethertype                     | Total                     | 11
decoder.tcp                                   | Total                     | 1325
tcp.syn                                       | Total                     | 27
tcp.synack                                    | Total                     | 5
decoder.udp                                   | Total                     | 16277
decoder.icmpv6                                | Total                     | 205
decoder.avg_pkt_size                          | Total                     | 973
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 12
flow.total                                    | Total                     | 58
flow.active                                   | Total                     | 41
flow.tcp                                      | Total                     | 19
flow.udp                                      | Total                     | 20
flow.icmpv6                                   | Total                     | 19
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 5
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 16
tcp.segment_from_pool                         | Total                     | 16
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 16
app_layer.tx.dns_udp                          | Total                     | 32
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 15
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 12
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10017
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 83
flow.mgr.flows_notimeout                      | Total                     | 66
flow.mgr.flows_timeout                        | Total                     | 17
flow.mgr.flows_evicted                        | Total                     | 17
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 17
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
tcp.reassembly_memuse                         | Total                     | 1390592
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:00 (uptime: 0d, 00h 02m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 18508
capture.afpacket.polls                        | Total                     | 22252
capture.afpacket.poll_timeout                 | Total                     | 13561
capture.afpacket.poll_data                    | Total                     | 8691
decoder.pkts                                  | Total                     | 19001
decoder.bytes                                 | Total                     | 18514218
decoder.ipv4                                  | Total                     | 78
decoder.ipv6                                  | Total                     | 18852
decoder.ethernet                              | Total                     | 19001
decoder.arp                                   | Total                     | 59
decoder.unknown_ethertype                     | Total                     | 12
decoder.tcp                                   | Total                     | 1411
tcp.syn                                       | Total                     | 27
tcp.synack                                    | Total                     | 5
decoder.udp                                   | Total                     | 17297
decoder.icmpv6                                | Total                     | 220
decoder.avg_pkt_size                          | Total                     | 974
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 12
flow.total                                    | Total                     | 60
flow.active                                   | Total                     | 42
flow.tcp                                      | Total                     | 19
flow.udp                                      | Total                     | 22
flow.icmpv6                                   | Total                     | 19
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 5
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 16
tcp.segment_from_pool                         | Total                     | 16
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 18
app_layer.tx.dns_udp                          | Total                     | 36
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 16
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 12
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10018
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 86
flow.mgr.flows_notimeout                      | Total                     | 68
flow.mgr.flows_timeout                        | Total                     | 18
flow.mgr.flows_evicted                        | Total                     | 18
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 18
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
tcp.reassembly_memuse                         | Total                     | 1390592
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:08 (uptime: 0d, 00h 02m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 22186
capture.afpacket.polls                        | Total                     | 24727
capture.afpacket.poll_timeout                 | Total                     | 14501
capture.afpacket.poll_data                    | Total                     | 10226
decoder.pkts                                  | Total                     | 22198
decoder.bytes                                 | Total                     | 21646430
decoder.ipv4                                  | Total                     | 85
decoder.ipv6                                  | Total                     | 22035
decoder.ethernet                              | Total                     | 22198
decoder.arp                                   | Total                     | 64
decoder.unknown_ethertype                     | Total                     | 14
decoder.tcp                                   | Total                     | 1559
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 7
decoder.udp                                   | Total                     | 20317
decoder.icmpv6                                | Total                     | 242
decoder.avg_pkt_size                          | Total                     | 975
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 12
flow.total                                    | Total                     | 76
flow.active                                   | Total                     | 56
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 28
flow.icmpv6                                   | Total                     | 27
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 5
flow.wrk.flows_evicted_needs_work             | Total                     | 2
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2
flow.wrk.flows_injected                       | Total                     | 2
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 32
tcp.segment_from_pool                         | Total                     | 30
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 21
app_layer.tx.dns_udp                          | Total                     | 42
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 18
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.syn_sent                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 13
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10018
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 99
flow.mgr.flows_notimeout                      | Total                     | 79
flow.mgr.flows_timeout                        | Total                     | 20
flow.mgr.flows_evicted                        | Total                     | 20
flow.mgr.flows_evicted_needs_work             | Total                     | 2
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 18
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471360
tcp.reassembly_memuse                         | Total                     | 1402880
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:16 (uptime: 0d, 00h 02m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 22253
capture.afpacket.polls                        | Total                     | 25842
capture.afpacket.poll_timeout                 | Total                     | 15569
capture.afpacket.poll_data                    | Total                     | 10273
decoder.pkts                                  | Total                     | 22253
decoder.bytes                                 | Total                     | 21656216
decoder.ipv4                                  | Total                     | 85
decoder.ipv6                                  | Total                     | 22085
decoder.ethernet                              | Total                     | 22253
decoder.arp                                   | Total                     | 68
decoder.unknown_ethertype                     | Total                     | 15
decoder.tcp                                   | Total                     | 1562
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 7
decoder.udp                                   | Total                     | 20358
decoder.icmpv6                                | Total                     | 248
decoder.avg_pkt_size                          | Total                     | 973
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 76
flow.active                                   | Total                     | 48
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 28
flow.icmpv6                                   | Total                     | 27
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 5
flow.wrk.flows_evicted_needs_work             | Total                     | 10
flow.wrk.flows_evicted_pkt_inject             | Total                     | 10
flow.wrk.flows_injected                       | Total                     | 10
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 34
tcp.segment_from_pool                         | Total                     | 30
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 21
app_layer.tx.dns_udp                          | Total                     | 42
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 26
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.syn_sent                   | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 14
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10018
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 117
flow.mgr.flows_notimeout                      | Total                     | 89
flow.mgr.flows_timeout                        | Total                     | 28
flow.mgr.flows_evicted                        | Total                     | 28
flow.mgr.flows_evicted_needs_work             | Total                     | 10
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 18
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1402880
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:24 (uptime: 0d, 00h 02m 34s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 23551
capture.afpacket.polls                        | Total                     | 27242
capture.afpacket.poll_timeout                 | Total                     | 16311
capture.afpacket.poll_data                    | Total                     | 10931
decoder.pkts                                  | Total                     | 23850
decoder.bytes                                 | Total                     | 23279496
decoder.ipv4                                  | Total                     | 86
decoder.ipv6                                  | Total                     | 23676
decoder.ethernet                              | Total                     | 23850
decoder.arp                                   | Total                     | 72
decoder.unknown_ethertype                     | Total                     | 16
decoder.tcp                                   | Total                     | 1577
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 7
decoder.udp                                   | Total                     | 21916
decoder.icmpv6                                | Total                     | 267
decoder.avg_pkt_size                          | Total                     | 976
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 78
flow.active                                   | Total                     | 49
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 29
flow.icmpv6                                   | Total                     | 28
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 7
flow.wrk.flows_evicted_needs_work             | Total                     | 10
flow.wrk.flows_evicted_pkt_inject             | Total                     | 10
flow.wrk.flows_injected                       | Total                     | 10
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 34
tcp.segment_from_pool                         | Total                     | 30
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 21
app_layer.tx.dns_udp                          | Total                     | 42
app_layer.flow.failed_udp                     | Total                     | 3
flow.end.state.new                            | Total                     | 27
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.syn_sent                   | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 15
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10019
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 119
flow.mgr.flows_notimeout                      | Total                     | 90
flow.mgr.flows_timeout                        | Total                     | 29
flow.mgr.flows_evicted                        | Total                     | 29
flow.mgr.flows_evicted_needs_work             | Total                     | 10
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 19
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1402880
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:32 (uptime: 0d, 00h 02m 42s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 25954
capture.afpacket.polls                        | Total                     | 29182
capture.afpacket.poll_timeout                 | Total                     | 17284
capture.afpacket.poll_data                    | Total                     | 11898
decoder.pkts                                  | Total                     | 25994
decoder.bytes                                 | Total                     | 25394649
decoder.ipv4                                  | Total                     | 88
decoder.ipv6                                  | Total                     | 25816
decoder.ethernet                              | Total                     | 25994
decoder.arp                                   | Total                     | 74
decoder.unknown_ethertype                     | Total                     | 16
decoder.tcp                                   | Total                     | 1770
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 7
decoder.udp                                   | Total                     | 23856
decoder.icmpv6                                | Total                     | 276
decoder.avg_pkt_size                          | Total                     | 976
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 79
flow.active                                   | Total                     | 49
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 30
flow.icmpv6                                   | Total                     | 28
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 7
flow.wrk.flows_evicted_needs_work             | Total                     | 10
flow.wrk.flows_evicted_pkt_inject             | Total                     | 10
flow.wrk.flows_injected                       | Total                     | 10
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 34
tcp.segment_from_pool                         | Total                     | 30
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 22
app_layer.tx.dns_udp                          | Total                     | 44
app_layer.flow.failed_udp                     | Total                     | 3
flow.end.state.new                            | Total                     | 28
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.syn_sent                   | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 16
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10020
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 123
flow.mgr.flows_notimeout                      | Total                     | 93
flow.mgr.flows_timeout                        | Total                     | 30
flow.mgr.flows_evicted                        | Total                     | 30
flow.mgr.flows_evicted_needs_work             | Total                     | 10
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 20
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1402880
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:40 (uptime: 0d, 00h 02m 50s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 26265
capture.afpacket.polls                        | Total                     | 30524
capture.afpacket.poll_timeout                 | Total                     | 18325
capture.afpacket.poll_data                    | Total                     | 12199
decoder.pkts                                  | Total                     | 27107
decoder.bytes                                 | Total                     | 26498011
decoder.ipv4                                  | Total                     | 88
decoder.ipv6                                  | Total                     | 26924
decoder.ethernet                              | Total                     | 27107
decoder.arp                                   | Total                     | 78
decoder.unknown_ethertype                     | Total                     | 17
decoder.tcp                                   | Total                     | 2020
tcp.syn                                       | Total                     | 29
tcp.synack                                    | Total                     | 7
decoder.udp                                   | Total                     | 24693
decoder.icmpv6                                | Total                     | 297
decoder.avg_pkt_size                          | Total                     | 977
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 79
flow.active                                   | Total                     | 47
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 30
flow.icmpv6                                   | Total                     | 28
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 7
flow.wrk.flows_evicted_needs_work             | Total                     | 10
flow.wrk.flows_evicted_pkt_inject             | Total                     | 10
flow.wrk.flows_injected                       | Total                     | 10
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 16
tcp.segment_from_cache                        | Total                     | 34
tcp.segment_from_pool                         | Total                     | 30
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 16
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 22
app_layer.tx.dns_udp                          | Total                     | 44
app_layer.flow.failed_udp                     | Total                     | 3
flow.end.state.new                            | Total                     | 30
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.syn_sent                   | Total                     | 10
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 17
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10022
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 130
flow.mgr.flows_notimeout                      | Total                     | 98
flow.mgr.flows_timeout                        | Total                     | 32
flow.mgr.flows_evicted                        | Total                     | 32
flow.mgr.flows_evicted_needs_work             | Total                     | 10
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 22
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1411072
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:44:48 (uptime: 0d, 00h 02m 58s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 28974
capture.afpacket.polls                        | Total                     | 32045
capture.afpacket.poll_timeout                 | Total                     | 19007
capture.afpacket.poll_data                    | Total                     | 13038
decoder.pkts                                  | Total                     | 28976
decoder.bytes                                 | Total                     | 28383482
decoder.ipv4                                  | Total                     | 96
decoder.ipv6                                  | Total                     | 28783
decoder.ethernet                              | Total                     | 28976
decoder.arp                                   | Total                     | 80
decoder.unknown_ethertype                     | Total                     | 17
