------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:08 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:32 (uptime: 0d, 00h 00m 42s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 4877
capture.afpacket.polls                        | Total                     | 5325
capture.afpacket.poll_timeout                 | Total                     | 3434
capture.afpacket.poll_data                    | Total                     | 1891
decoder.pkts                                  | Total                     | 5130
decoder.bytes                                 | Total                     | 5314618
decoder.ipv4                                  | Total                     | 31
decoder.ipv6                                  | Total                     | 5077
decoder.ethernet                              | Total                     | 5130
decoder.arp                                   | Total                     | 19
decoder.unknown_ethertype                     | Total                     | 3
decoder.tcp                                   | Total                     | 268
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 4783
decoder.icmpv6                                | Total                     | 57
decoder.avg_pkt_size                          | Total                     | 1035
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 32
flow.active                                   | Total                     | 32
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 11
flow.icmpv6                                   | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_pool                         | Total                     | 4
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 9
app_layer.tx.dns_udp                          | Total                     | 18
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 30
flow.mgr.flows_notimeout                      | Total                     | 30
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:40 (uptime: 0d, 00h 00m 50s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7620
capture.afpacket.polls                        | Total                     | 7786
capture.afpacket.poll_timeout                 | Total                     | 4453
capture.afpacket.poll_data                    | Total                     | 3333
decoder.pkts                                  | Total                     | 7620
decoder.bytes                                 | Total                     | 7621768
decoder.ipv4                                  | Total                     | 31
decoder.ipv6                                  | Total                     | 7562
decoder.ethernet                              | Total                     | 7620
decoder.arp                                   | Total                     | 23
decoder.unknown_ethertype                     | Total                     | 4
decoder.tcp                                   | Total                     | 434
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 7085
decoder.icmpv6                                | Total                     | 74
decoder.avg_pkt_size                          | Total                     | 1000
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 32
flow.active                                   | Total                     | 32
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 11
flow.icmpv6                                   | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_pool                         | Total                     | 4
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 9
app_layer.tx.dns_udp                          | Total                     | 18
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 34
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:48 (uptime: 0d, 00h 00m 58s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7692
capture.afpacket.polls                        | Total                     | 8527
capture.afpacket.poll_timeout                 | Total                     | 5162
capture.afpacket.poll_data                    | Total                     | 3365
decoder.pkts                                  | Total                     | 7692
decoder.bytes                                 | Total                     | 7666781
decoder.ipv4                                  | Total                     | 31
decoder.ipv6                                  | Total                     | 7632
decoder.ethernet                              | Total                     | 7692
decoder.arp                                   | Total                     | 25
decoder.unknown_ethertype                     | Total                     | 4
decoder.tcp                                   | Total                     | 495
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 7085
decoder.icmpv6                                | Total                     | 83
decoder.avg_pkt_size                          | Total                     | 996
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 2
flow.total                                    | Total                     | 32
flow.active                                   | Total                     | 29
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 11
flow.icmpv6                                   | Total                     | 15
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
tcp.sessions                                  | Total                     | 2
tcp.ssn_from_pool                             | Total                     | 2
tcp.segment_from_pool                         | Total                     | 4
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 9
app_layer.tx.dns_udp                          | Total                     | 18
flow.end.state.new                            | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10103
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 38
flow.mgr.flows_notimeout                      | Total                     | 35
flow.mgr.flows_timeout                        | Total                     | 3
flow.mgr.flows_evicted                        | Total                     | 3
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 3
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:56 (uptime: 0d, 00h 01m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 9198
capture.afpacket.polls                        | Total                     | 10737
